,index,optim,lr,loss
0,1832,adam,1e-06,7.34494161605835
1,1833,adam,1.0099999999999999e-06,7.351396560668945
2,1834,adam,1.0200999999999998e-06,7.383983135223389
3,1835,adam,1.0303009999999997e-06,7.390672206878662
4,1836,adam,1.0406040099999998e-06,7.376411437988281
5,1837,adam,1.0510100500999999e-06,7.40706205368042
6,1838,adam,1.061520150601e-06,7.354598045349121
7,1839,adam,1.07213535210701e-06,7.34496545791626
8,1840,adam,1.08285670562808e-06,7.404484272003174
9,1841,adam,1.0936852726843608e-06,7.406396389007568
10,1842,adam,1.1046221254112045e-06,7.31817626953125
11,1843,adam,1.1156683466653166e-06,7.3508524894714355
12,1844,adam,1.1268250301319698e-06,7.383790493011475
13,1845,adam,1.1380932804332895e-06,7.319456577301025
14,1846,adam,1.1494742132376223e-06,7.4101715087890625
15,1847,adam,1.1609689553699985e-06,7.354943752288818
16,1848,adam,1.1725786449236986e-06,7.2958455085754395
17,1849,adam,1.1843044313729356e-06,7.290688514709473
18,1850,adam,1.1961474756866649e-06,7.32584285736084
19,1851,adam,1.2081089504435314e-06,7.322768688201904
20,1852,adam,1.2201900399479668e-06,7.3362932205200195
21,1853,adam,1.2323919403474466e-06,7.259505271911621
22,1854,adam,1.2447158597509211e-06,7.237935543060303
23,1855,adam,1.2571630183484303e-06,7.302240371704102
24,1856,adam,1.2697346485319147e-06,7.349079608917236
25,1857,adam,1.2824319950172339e-06,7.294760704040527
26,1858,adam,1.2952563149674061e-06,7.21940279006958
27,1859,adam,1.3082088781170801e-06,7.296904563903809
28,1860,adam,1.321290966898251e-06,7.310098648071289
29,1861,adam,1.3345038765672334e-06,7.272270679473877
30,1862,adam,1.3478489153329057e-06,7.284769058227539
31,1863,adam,1.3613274044862347e-06,7.243256092071533
32,1864,adam,1.374940678531097e-06,7.243740558624268
33,1865,adam,1.388690085316408e-06,7.196524620056152
34,1866,adam,1.402576986169572e-06,7.231170177459717
35,1867,adam,1.4166027560312678e-06,7.189601421356201
36,1868,adam,1.4307687835915804e-06,7.182621479034424
