Epoch,frosty-sweep-18,floral-sweep-17,spring-sweep-16,morning-sweep-14,helpful-sweep-13,sunny-sweep-12,happy-sweep-11,silvery-sweep-10,zesty-sweep-9,copper-sweep-8,polished-sweep-7,logical-sweep-6,fearless-sweep-5,robust-sweep-4,brisk-sweep-3,lucky-sweep-2,giddy-sweep-1
1,0.441,0.4438,0.431,0.3184,0.3349,0.2878,0.2812,0.29,0.4349,0.434,0.4637,0.4831,0.4753,0.5086,0.4153,0.4351,0.4278
2,0.5247,0.5244,0.5247,0.4104,0.4152,0.3464,0.3589,0.3668,0.5664,0.65,0.6159,0.5851,0.5586,0.5405,0.5705,0.5401,0.5603
3,0.5849,0.5659,0.5651,0.4548,0.4518,0.3862,0.387,0.387,0.6643,0.6554,0.6902,0.6569,0.6696,0.6303,0.6002,0.6132,0.6337
4,0.6326,0.6148,0.6441,0.5122,0.5132,0.4463,0.4379,0.4433,0.6993,0.7546,0.7619,0.7017,0.6912,0.7291,0.691,0.6741,0.6565
5,0.6472,0.6567,0.6747,0.5195,0.5322,0.4833,0.4698,0.4782,0.7638,0.7679,0.7825,0.7668,0.766,0.7706,0.7066,0.7228,0.729
6,0.6809,0.6933,0.6871,0.5527,0.5595,0.5046,0.5051,0.5203,0.7798,0.8155,0.8092,0.7901,0.7912,0.8018,0.7412,0.7598,0.7754
7,0.7134,0.7137,0.7204,0.5949,0.6017,0.5294,0.5276,0.5354,0.805,0.8215,0.8193,0.7604,0.7571,0.7668,0.7639,0.7579,0.7908
8,0.7358,0.7129,0.7343,0.6147,0.6203,0.5591,0.5404,0.5581,0.821,0.8084,0.8326,0.8251,0.8132,0.8217,0.7723,0.7936,0.8018
9,0.7613,0.7628,0.7513,0.628,0.6303,0.5771,0.5648,0.561,0.8349,0.846,0.8451,0.8166,0.8034,0.8256,0.7928,0.7965,0.8018
10,0.775,0.7589,0.7701,0.6644,0.6637,0.5796,0.5767,0.5934,0.8422,0.8419,0.8301,0.8375,0.8395,0.8466,0.8174,0.825,0.8191
11,0.7966,0.7886,0.7645,0.6575,0.66,0.5925,0.6093,0.6106,0.8317,0.854,0.8596,0.8538,0.8245,0.8232,0.8212,0.8274,0.8234
12,0.8038,0.8066,0.798,0.6777,0.6824,0.6191,0.6092,0.6192,0.8459,0.8702,0.8624,0.8391,0.8437,0.849,0.8088,0.8247,0.8164
13,0.8038,0.8142,0.7995,0.6878,0.6991,0.634,0.6203,0.6372,0.8485,0.862,0.8355,0.8593,0.8556,0.8451,0.8462,0.8467,0.8401
14,0.8074,0.7995,0.8091,0.7015,0.7089,0.6357,0.6449,0.6568,0.8613,0.8562,0.8668,0.8457,0.8421,0.8425,0.8417,0.8471,0.8555
15,0.8157,0.8156,0.8233,0.718,0.7214,0.652,0.6573,0.6566,0.8502,0.8506,0.8743,0.8561,0.8545,0.8453,0.8401,0.8505,0.8347
16,0.8259,0.8262,0.8062,0.7247,0.7274,0.6576,0.6677,0.6634,0.8682,0.8829,0.8756,0.8525,0.8718,0.8652,0.8306,0.8439,0.8454
17,0.8254,0.8313,0.8266,0.7287,0.7239,0.6673,0.6703,0.6745,0.8733,0.8704,0.8739,0.8553,0.858,0.8586,0.8461,0.8391,0.8371
18,0.8288,0.8405,0.8318,0.7413,0.7512,0.6857,0.6764,0.6811,0.8707,0.8705,0.8893,0.8558,0.8653,0.8679,0.8537,0.8579,0.8566
19,0.8384,0.8338,0.8405,0.7464,0.7514,0.694,0.6824,0.6827,0.869,0.8864,0.8716,0.8693,0.8691,0.8615,0.8663,0.8653,0.8574
20,0.8273,0.8382,0.8477,0.7649,0.7552,0.6988,0.7052,0.6996,0.8653,0.8881,0.8803,0.873,0.8658,0.8662,0.8631,0.8442,0.8625
21,0.8253,0.8342,0.8505,0.7658,0.7724,0.7073,0.7093,0.6997,0.8735,0.8635,0.8969,0.8763,0.8649,0.8821,0.858,0.8725,0.8521
22,0.8527,0.8481,0.8559,0.7624,0.7753,0.7124,0.7182,0.7145,0.8826,0.8832,0.899,0.8804,0.8873,0.877,0.8562,0.8757,0.8666
23,0.8485,0.83,0.8425,0.7856,0.7782,0.7211,0.7126,0.716,0.8896,0.8884,0.8925,0.8619,0.8802,0.8683,0.8637,0.8599,0.8766
24,0.8427,0.8512,0.854,0.7835,0.7751,0.7167,0.7217,0.7228,0.8865,0.8932,0.8895,0.8821,0.8925,0.8902,0.8741,0.8769,0.8562
25,0.855,0.853,0.8536,0.7926,0.7946,0.7217,0.7345,0.7258,0.8907,0.8982,0.8864,0.8882,0.8921,0.89,0.8762,0.8774,0.8522
