norm,independence,balancement,round,test_accuracy
BN,iid,balanced,1.0,0.09953333333333332
BN,iid,balanced,2.0,0.10366666666666668
BN,iid,balanced,3.0,0.12256666666666666
BN,iid,balanced,4.0,0.15393333333333334
BN,iid,balanced,5.0,0.18873333333333334
BN,iid,balanced,6.0,0.19456666666666667
BN,iid,balanced,7.0,0.2101666666666667
BN,iid,balanced,8.0,0.22996666666666665
BN,iid,balanced,9.0,0.23116666666666666
BN,iid,balanced,10.0,0.25533333333333336
BN,iid,balanced,11.0,0.24733333333333332
BN,iid,balanced,12.0,0.26033333333333336
BN,iid,balanced,13.0,0.2844
BN,iid,balanced,14.0,0.29283333333333333
BN,iid,balanced,15.0,0.2946
BN,iid,balanced,16.0,0.2913
BN,iid,balanced,17.0,0.30473333333333336
BN,iid,balanced,18.0,0.33359999999999995
BN,iid,balanced,19.0,0.3509333333333333
BN,iid,balanced,20.0,0.37213333333333337
BN,iid,balanced,21.0,0.3644
BN,iid,balanced,22.0,0.37810000000000005
BN,iid,balanced,23.0,0.3915
BN,iid,balanced,24.0,0.37420000000000003
BN,iid,balanced,25.0,0.4033666666666667
BN,iid,balanced,26.0,0.4086666666666667
BN,iid,balanced,27.0,0.42086666666666667
BN,iid,balanced,28.0,0.4252666666666667
BN,iid,balanced,29.0,0.4350333333333333
BN,iid,balanced,30.0,0.44103333333333333
BN,iid,balanced,31.0,0.4504666666666666
BN,iid,balanced,32.0,0.4428
BN,iid,balanced,33.0,0.4641333333333333
BN,iid,balanced,34.0,0.4742333333333333
BN,iid,balanced,35.0,0.46176666666666666
BN,iid,balanced,36.0,0.48836666666666667
BN,iid,balanced,37.0,0.49643333333333334
BN,iid,balanced,38.0,0.5003333333333333
BN,iid,balanced,39.0,0.5069
BN,iid,balanced,40.0,0.5029666666666667
BN,iid,balanced,41.0,0.5122333333333332
BN,iid,balanced,42.0,0.5103666666666666
BN,iid,balanced,43.0,0.5209666666666667
BN,iid,balanced,44.0,0.5254666666666666
BN,iid,balanced,45.0,0.529
BN,iid,balanced,46.0,0.5436333333333333
BN,iid,balanced,47.0,0.5445
BN,iid,balanced,48.0,0.5411
BN,iid,balanced,49.0,0.5523
BN,iid,balanced,50.0,0.5521666666666667
BN,noniid,balanced,1.0,0.10000000000000002
BN,noniid,balanced,2.0,0.10000000000000002
BN,noniid,balanced,3.0,0.10183333333333333
BN,noniid,balanced,4.0,0.11186666666666667
BN,noniid,balanced,5.0,0.10046666666666666
BN,noniid,balanced,6.0,0.1082
BN,noniid,balanced,7.0,0.11006666666666669
BN,noniid,balanced,8.0,0.12020000000000002
BN,noniid,balanced,9.0,0.13793333333333332
BN,noniid,balanced,10.0,0.13936666666666667
BN,noniid,balanced,11.0,0.14666666666666667
BN,noniid,balanced,12.0,0.1452
BN,noniid,balanced,13.0,0.14953333333333332
BN,noniid,balanced,14.0,0.1567333333333333
BN,noniid,balanced,15.0,0.14506666666666668
BN,noniid,balanced,16.0,0.16196666666666668
BN,noniid,balanced,17.0,0.1572
BN,noniid,balanced,18.0,0.16240000000000002
BN,noniid,balanced,19.0,0.1610666666666667
BN,noniid,balanced,20.0,0.15510000000000002
BN,noniid,balanced,21.0,0.17373333333333332
BN,noniid,balanced,22.0,0.18153333333333332
BN,noniid,balanced,23.0,0.1704
BN,noniid,balanced,24.0,0.17096666666666668
BN,noniid,balanced,25.0,0.17206666666666667
BN,noniid,balanced,26.0,0.17036666666666667
BN,noniid,balanced,27.0,0.17173333333333332
BN,noniid,balanced,28.0,0.1790333333333333
BN,noniid,balanced,29.0,0.18356666666666666
BN,noniid,balanced,30.0,0.17056666666666667
BN,noniid,balanced,31.0,0.1858
BN,noniid,balanced,32.0,0.18603333333333336
BN,noniid,balanced,33.0,0.1811
BN,noniid,balanced,34.0,0.18346666666666667
BN,noniid,balanced,35.0,0.17886666666666665
BN,noniid,balanced,36.0,0.19396666666666665
BN,noniid,balanced,37.0,0.18286666666666665
BN,noniid,balanced,38.0,0.19543333333333332
BN,noniid,balanced,39.0,0.1894
BN,noniid,balanced,40.0,0.18946666666666667
BN,noniid,balanced,41.0,0.1936
BN,noniid,balanced,42.0,0.19053333333333333
BN,noniid,balanced,43.0,0.19143333333333334
BN,noniid,balanced,44.0,0.20153333333333334
BN,noniid,balanced,45.0,0.18769999999999998
BN,noniid,balanced,46.0,0.2003666666666667
BN,noniid,balanced,47.0,0.1976
BN,noniid,balanced,48.0,0.2069
BN,noniid,balanced,49.0,0.20020000000000002
BN,noniid,balanced,50.0,0.19576666666666667
BN,noniid,unbalanced,1.0,0.10000000000000002
BN,noniid,unbalanced,2.0,0.10000000000000002
BN,noniid,unbalanced,3.0,0.11916666666666666
BN,noniid,unbalanced,4.0,0.12480000000000001
BN,noniid,unbalanced,5.0,0.14983333333333335
BN,noniid,unbalanced,6.0,0.16873333333333332
BN,noniid,unbalanced,7.0,0.18230000000000002
BN,noniid,unbalanced,8.0,0.1801
BN,noniid,unbalanced,9.0,0.19706666666666664
BN,noniid,unbalanced,10.0,0.19776666666666665
BN,noniid,unbalanced,11.0,0.22253333333333333
BN,noniid,unbalanced,12.0,0.21283333333333335
BN,noniid,unbalanced,13.0,0.2274666666666667
BN,noniid,unbalanced,14.0,0.23826666666666665
BN,noniid,unbalanced,15.0,0.2466
BN,noniid,unbalanced,16.0,0.2525
BN,noniid,unbalanced,17.0,0.248
BN,noniid,unbalanced,18.0,0.24993333333333334
BN,noniid,unbalanced,19.0,0.24609999999999999
BN,noniid,unbalanced,20.0,0.2608333333333333
BN,noniid,unbalanced,21.0,0.26203333333333334
BN,noniid,unbalanced,22.0,0.2722
BN,noniid,unbalanced,23.0,0.2541333333333333
BN,noniid,unbalanced,24.0,0.2750666666666666
BN,noniid,unbalanced,25.0,0.2765
BN,noniid,unbalanced,26.0,0.2759
BN,noniid,unbalanced,27.0,0.28633333333333333
BN,noniid,unbalanced,28.0,0.2739333333333333
BN,noniid,unbalanced,29.0,0.2774666666666667
BN,noniid,unbalanced,30.0,0.28453333333333336
BN,noniid,unbalanced,31.0,0.28213333333333335
BN,noniid,unbalanced,32.0,0.29000000000000004
BN,noniid,unbalanced,33.0,0.28836666666666666
BN,noniid,unbalanced,34.0,0.2986
BN,noniid,unbalanced,35.0,0.30256666666666665
BN,noniid,unbalanced,36.0,0.2971
BN,noniid,unbalanced,37.0,0.2949
BN,noniid,unbalanced,38.0,0.2964333333333334
BN,noniid,unbalanced,39.0,0.30056666666666665
BN,noniid,unbalanced,40.0,0.2996666666666667
BN,noniid,unbalanced,41.0,0.31153333333333333
BN,noniid,unbalanced,42.0,0.30743333333333334
BN,noniid,unbalanced,43.0,0.3078666666666667
BN,noniid,unbalanced,44.0,0.3080333333333333
BN,noniid,unbalanced,45.0,0.3091
BN,noniid,unbalanced,46.0,0.3224666666666667
BN,noniid,unbalanced,47.0,0.3179
BN,noniid,unbalanced,48.0,0.3212
BN,noniid,unbalanced,49.0,0.32493333333333335
BN,noniid,unbalanced,50.0,0.32866666666666666
GN,iid,balanced,1.0,0.10000000000000002
GN,iid,balanced,2.0,0.1246
GN,iid,balanced,3.0,0.13116666666666668
GN,iid,balanced,4.0,0.14176666666666665
GN,iid,balanced,5.0,0.15313333333333334
GN,iid,balanced,6.0,0.15769999999999998
GN,iid,balanced,7.0,0.17043333333333333
GN,iid,balanced,8.0,0.19883333333333333
GN,iid,balanced,9.0,0.19663333333333335
GN,iid,balanced,10.0,0.2216
GN,iid,balanced,11.0,0.221
GN,iid,balanced,12.0,0.2308
GN,iid,balanced,13.0,0.2352
GN,iid,balanced,14.0,0.23273333333333335
GN,iid,balanced,15.0,0.2536333333333333
GN,iid,balanced,16.0,0.2489
GN,iid,balanced,17.0,0.2543333333333333
GN,iid,balanced,18.0,0.2575
GN,iid,balanced,19.0,0.26953333333333335
GN,iid,balanced,20.0,0.26213333333333333
GN,iid,balanced,21.0,0.26616666666666666
GN,iid,balanced,22.0,0.2647
GN,iid,balanced,23.0,0.268
GN,iid,balanced,24.0,0.2752666666666667
GN,iid,balanced,25.0,0.2700666666666667
GN,iid,balanced,26.0,0.2710333333333333
GN,iid,balanced,27.0,0.27543333333333336
GN,iid,balanced,28.0,0.2832666666666667
GN,iid,balanced,29.0,0.28723333333333334
GN,iid,balanced,30.0,0.2866333333333333
GN,iid,balanced,31.0,0.2924333333333334
GN,iid,balanced,32.0,0.27859999999999996
GN,iid,balanced,33.0,0.28163333333333335
GN,iid,balanced,34.0,0.2823
GN,iid,balanced,35.0,0.28653333333333336
GN,iid,balanced,36.0,0.29929999999999995
GN,iid,balanced,37.0,0.3007666666666667
GN,iid,balanced,38.0,0.29403333333333337
GN,iid,balanced,39.0,0.306
GN,iid,balanced,40.0,0.29973333333333335
GN,iid,balanced,41.0,0.3042666666666667
GN,iid,balanced,42.0,0.3116333333333333
GN,iid,balanced,43.0,0.3131333333333333
GN,iid,balanced,44.0,0.3180666666666667
GN,iid,balanced,45.0,0.3124333333333333
GN,iid,balanced,46.0,0.32126666666666664
GN,iid,balanced,47.0,0.32350000000000007
GN,iid,balanced,48.0,0.32
GN,iid,balanced,49.0,0.32539999999999997
GN,iid,balanced,50.0,0.32
GN,noniid,balanced,1.0,0.09853333333333335
GN,noniid,balanced,2.0,0.10000000000000002
GN,noniid,balanced,3.0,0.09643333333333333
GN,noniid,balanced,4.0,0.10516666666666667
GN,noniid,balanced,5.0,0.10473333333333334
GN,noniid,balanced,6.0,0.10033333333333334
GN,noniid,balanced,7.0,0.10333333333333333
GN,noniid,balanced,8.0,0.10726666666666666
GN,noniid,balanced,9.0,0.11696666666666666
GN,noniid,balanced,10.0,0.12203333333333334
GN,noniid,balanced,11.0,0.13156666666666667
GN,noniid,balanced,12.0,0.13173333333333334
GN,noniid,balanced,13.0,0.13333333333333333
GN,noniid,balanced,14.0,0.13543333333333332
GN,noniid,balanced,15.0,0.13690000000000002
GN,noniid,balanced,16.0,0.13833333333333334
GN,noniid,balanced,17.0,0.14196666666666666
GN,noniid,balanced,18.0,0.14993333333333334
GN,noniid,balanced,19.0,0.14780000000000001
GN,noniid,balanced,20.0,0.14476666666666668
GN,noniid,balanced,21.0,0.14593333333333333
GN,noniid,balanced,22.0,0.15616666666666668
GN,noniid,balanced,23.0,0.1586
GN,noniid,balanced,24.0,0.16063333333333332
GN,noniid,balanced,25.0,0.15923333333333334
GN,noniid,balanced,26.0,0.16949999999999998
GN,noniid,balanced,27.0,0.16496666666666668
GN,noniid,balanced,28.0,0.16796666666666668
GN,noniid,balanced,29.0,0.17926666666666669
GN,noniid,balanced,30.0,0.17163333333333333
GN,noniid,balanced,31.0,0.1782
GN,noniid,balanced,32.0,0.1758666666666667
GN,noniid,balanced,33.0,0.18263333333333334
GN,noniid,balanced,34.0,0.18593333333333337
GN,noniid,balanced,35.0,0.1827
GN,noniid,balanced,36.0,0.1844
GN,noniid,balanced,37.0,0.1879666666666667
GN,noniid,balanced,38.0,0.18683333333333332
GN,noniid,balanced,39.0,0.18556666666666666
GN,noniid,balanced,40.0,0.18803333333333336
GN,noniid,balanced,41.0,0.19073333333333334
GN,noniid,balanced,42.0,0.19513333333333335
GN,noniid,balanced,43.0,0.19523333333333334
GN,noniid,balanced,44.0,0.19313333333333335
GN,noniid,balanced,45.0,0.1922
GN,noniid,balanced,46.0,0.20073333333333335
GN,noniid,balanced,47.0,0.18946666666666667
GN,noniid,balanced,48.0,0.19919999999999996
GN,noniid,balanced,49.0,0.20406666666666665
GN,noniid,balanced,50.0,0.20556666666666668
GN,noniid,unbalanced,1.0,0.10000000000000002
GN,noniid,unbalanced,2.0,0.10000000000000002
GN,noniid,unbalanced,3.0,0.11136666666666666
GN,noniid,unbalanced,4.0,0.12673333333333334
GN,noniid,unbalanced,5.0,0.12986666666666666
GN,noniid,unbalanced,6.0,0.13063333333333335
GN,noniid,unbalanced,7.0,0.133
GN,noniid,unbalanced,8.0,0.14883333333333335
GN,noniid,unbalanced,9.0,0.15376666666666666
GN,noniid,unbalanced,10.0,0.16326666666666667
GN,noniid,unbalanced,11.0,0.18243333333333334
GN,noniid,unbalanced,12.0,0.18433333333333332
GN,noniid,unbalanced,13.0,0.1915
GN,noniid,unbalanced,14.0,0.19870000000000002
GN,noniid,unbalanced,15.0,0.20656666666666668
GN,noniid,unbalanced,16.0,0.21323333333333336
GN,noniid,unbalanced,17.0,0.20673333333333332
GN,noniid,unbalanced,18.0,0.21343333333333334
GN,noniid,unbalanced,19.0,0.21263333333333334
GN,noniid,unbalanced,20.0,0.20896666666666666
GN,noniid,unbalanced,21.0,0.21553333333333335
GN,noniid,unbalanced,22.0,0.21663333333333334
GN,noniid,unbalanced,23.0,0.21653333333333333
GN,noniid,unbalanced,24.0,0.22163333333333335
GN,noniid,unbalanced,25.0,0.22676666666666667
GN,noniid,unbalanced,26.0,0.22493333333333335
GN,noniid,unbalanced,27.0,0.2298
GN,noniid,unbalanced,28.0,0.23329999999999998
