norm,independence,balancement,round,test_loss,test_accuracy
BN,iid,balanced,1.0,2.3371698735635493,0.09953333333333332
BN,iid,balanced,2.0,2.3767738714499815,0.10366666666666668
BN,iid,balanced,3.0,2.384084999309813,0.12256666666666666
BN,iid,balanced,4.0,2.2184228504760353,0.15393333333333334
BN,iid,balanced,5.0,2.0945336999772475,0.18873333333333334
BN,iid,balanced,6.0,2.075555937199653,0.19456666666666667
BN,iid,balanced,7.0,2.0201622795958056,0.2101666666666667
BN,iid,balanced,8.0,1.9697988385389626,0.22996666666666665
BN,iid,balanced,9.0,1.9390818428892629,0.23116666666666666
BN,iid,balanced,10.0,1.919346688668939,0.25533333333333336
BN,iid,balanced,11.0,1.9621071579084115,0.24733333333333332
BN,iid,balanced,12.0,1.9014028446583808,0.26033333333333336
BN,iid,balanced,13.0,1.8510617430200051,0.2844
BN,iid,balanced,14.0,1.8399853530312391,0.29283333333333333
BN,iid,balanced,15.0,1.7954493685613706,0.2946
BN,iid,balanced,16.0,1.8222786439622005,0.2913
BN,iid,balanced,17.0,1.7786994488430425,0.30473333333333336
BN,iid,balanced,18.0,1.7392615713650665,0.33359999999999995
BN,iid,balanced,19.0,1.6979682586364102,0.3509333333333333
BN,iid,balanced,20.0,1.6719634447419693,0.37213333333333337
BN,iid,balanced,21.0,1.6865619571903085,0.3644
BN,iid,balanced,22.0,1.646630548726657,0.37810000000000005
BN,iid,balanced,23.0,1.6336657442624054,0.3915
BN,iid,balanced,24.0,1.6450521915773801,0.37420000000000003
BN,iid,balanced,25.0,1.6030806966974767,0.4033666666666667
BN,iid,balanced,26.0,1.5665832078909572,0.4086666666666667
BN,iid,balanced,27.0,1.5611906680376721,0.42086666666666667
BN,iid,balanced,28.0,1.5500482396234438,0.4252666666666667
BN,iid,balanced,29.0,1.5260084736699293,0.4350333333333333
BN,iid,balanced,30.0,1.5038567449473128,0.44103333333333333
BN,iid,balanced,31.0,1.4881146059760564,0.4504666666666666
BN,iid,balanced,32.0,1.493185740985951,0.4428
