round,epoch,train_loss,train_acc,norm,independence,balancement,seed
1,1,3.539306899322863,0.2488405815792168,BN,noniid,unbalanced,0
1,2,1.208863487592323,0.3575459885137219,BN,noniid,unbalanced,0
1,3,1.232296152179664,0.2571474958962586,BN,noniid,unbalanced,0
1,4,1.1687094899889603,0.2731361781346625,BN,noniid,unbalanced,0
1,5,1.185627371021198,0.3011429116872487,BN,noniid,unbalanced,0
1,6,1.1584678751199915,0.3582155968660879,BN,noniid,unbalanced,0
1,7,1.1586638597567742,0.297225616841694,BN,noniid,unbalanced,0
1,8,1.1125938065109835,0.3764209882141699,BN,noniid,unbalanced,0
1,9,1.102779312448645,0.2499120357326757,BN,noniid,unbalanced,0
1,10,1.0610179622240972,0.2913609229562075,BN,noniid,unbalanced,0
2,1,1.2227310202046475,0.2289968282263466,BN,noniid,unbalanced,0
2,2,1.2539472047681013,0.217613308577038,BN,noniid,unbalanced,0
2,3,1.24763441805618,0.2018381479173918,BN,noniid,unbalanced,0
2,4,1.246326120330158,0.2006493316304296,BN,noniid,unbalanced,0
2,5,1.2403924611373578,0.1853479963981807,BN,noniid,unbalanced,0
2,6,1.223569993857116,0.2479556407523616,BN,noniid,unbalanced,0
2,7,1.2138631042586605,0.2523455409487209,BN,noniid,unbalanced,0
2,8,1.2325067685456288,0.204584471455314,BN,noniid,unbalanced,0
2,9,1.1968198858808237,0.2261312629923763,BN,noniid,unbalanced,0
2,10,1.1993053991092566,0.2654909822037631,BN,noniid,unbalanced,0
3,1,1.274435227450324,0.089686280316394,BN,noniid,unbalanced,0
3,2,1.2686363321566,0.1099595118331497,BN,noniid,unbalanced,0
3,3,1.2515794193256693,0.1705363188142654,BN,noniid,unbalanced,0
3,4,1.2497783870167096,0.146868334074826,BN,noniid,unbalanced,0
3,5,1.2530434951879346,0.1678982910266133,BN,noniid,unbalanced,0
3,6,1.253007548757086,0.1245838226682535,BN,noniid,unbalanced,0
3,7,1.2070237077932655,0.145454848036541,BN,noniid,unbalanced,0
3,8,1.2144915476843643,0.1123039631297931,BN,noniid,unbalanced,0
3,9,1.1917097518082758,0.181347287602524,BN,noniid,unbalanced,0
3,10,1.1738563851396484,0.1746564925487,BN,noniid,unbalanced,0
4,1,1.11319657386355,0.2950053770502887,BN,noniid,unbalanced,0
4,2,1.1825031100235892,0.2797416444195481,BN,noniid,unbalanced,0
4,3,1.1407174258448471,0.3332483550026162,BN,noniid,unbalanced,0
4,4,1.1392038030941545,0.22877723538907,BN,noniid,unbalanced,0
4,5,1.1640351756032332,0.2634096394250121,BN,noniid,unbalanced,0
4,6,1.0882070506270414,0.3572129455844878,BN,noniid,unbalanced,0
4,7,1.0584815643304897,0.3458401649308973,BN,noniid,unbalanced,0
4,8,1.1194743012978965,0.3244490155748413,BN,noniid,unbalanced,0
4,9,1.1113656249190444,0.2640645381556495,BN,noniid,unbalanced,0
4,10,1.131134091898661,0.2978998337783519,BN,noniid,unbalanced,0
5,1,1.2331198439827675,0.2583180712270025,BN,noniid,unbalanced,0
5,2,1.205293882848412,0.1457319164798985,BN,noniid,unbalanced,0
5,3,1.2266878671970132,0.1473758522980873,BN,noniid,unbalanced,0
5,4,1.1917691338297682,0.1751873433447022,BN,noniid,unbalanced,0
5,5,1.196577311780439,0.1820389223686113,BN,noniid,unbalanced,0
5,6,1.222068875374154,0.1346759907458924,BN,noniid,unbalanced,0
5,7,1.225152727898591,0.2113390585870142,BN,noniid,unbalanced,0
5,8,1.2202281866624347,0.1243543165924827,BN,noniid,unbalanced,0
5,9,1.200655566803171,0.2570130197789035,BN,noniid,unbalanced,0
5,10,1.2329964852077155,0.1901881428191816,BN,noniid,unbalanced,0
6,1,1.3771893229261896,0.0483856889592737,BN,noniid,unbalanced,0
6,2,1.3845299306498542,0.1545205928934143,BN,noniid,unbalanced,0
6,3,1.3838186426790404,0.122030923123279,BN,noniid,unbalanced,0
6,4,1.345882649059815,0.1262049592936424,BN,noniid,unbalanced,0
6,5,1.359978828356625,0.1862754311648082,BN,noniid,unbalanced,0
6,6,1.3462637846124197,0.1253108237151693,BN,noniid,unbalanced,0
6,7,1.353370782902107,0.1628758880102226,BN,noniid,unbalanced,0
6,8,1.3396709652400265,0.1207179072381909,BN,noniid,unbalanced,0
6,9,1.3404761557060882,0.2191070124079733,BN,noniid,unbalanced,0
6,10,1.371631021174751,0.1593867950479108,BN,noniid,unbalanced,0
7,1,1.2244591844586974,0.2517700916425735,BN,noniid,unbalanced,0
7,2,1.1680154616575422,0.3142974239299718,BN,noniid,unbalanced,0
7,3,1.1641032701164886,0.2223745756613463,BN,noniid,unbalanced,0
7,4,1.1472258116507037,0.2861441814177642,BN,noniid,unbalanced,0
7,5,1.1399871625351874,0.2672178645889253,BN,noniid,unbalanced,0
7,6,1.1074311734044409,0.2521181674261871,BN,noniid,unbalanced,0
7,7,1.1114965002077382,0.2345644628266182,BN,noniid,unbalanced,0
7,8,1.0714207098654025,0.311003262354995,BN,noniid,unbalanced,0
7,9,1.0477590838099884,0.3822207944440785,BN,noniid,unbalanced,0
7,10,1.0267317207042113,0.3375828118044369,BN,noniid,unbalanced,0
8,1,1.220925360519838,0.3225684043022648,BN,noniid,unbalanced,0
8,2,1.0433666803312918,0.3650218396549959,BN,noniid,unbalanced,0
8,3,1.027320435432296,0.3842140872343765,BN,noniid,unbalanced,0
8,4,1.0123112444180855,0.4732969430555845,BN,noniid,unbalanced,0
8,5,0.9977458424382378,0.4283690451192645,BN,noniid,unbalanced,0
8,6,0.9743844602245422,0.3964069740061017,BN,noniid,unbalanced,0
8,7,0.949917036489967,0.4486942994373661,BN,noniid,unbalanced,0
8,8,0.9365616172308536,0.4797240303381451,BN,noniid,unbalanced,0
8,9,0.907037398572339,0.4120111573279222,BN,noniid,unbalanced,0
8,10,0.922371220044092,0.4415456860111841,BN,noniid,unbalanced,0
9,1,1.2488358861923423,0.2306483147201899,BN,noniid,unbalanced,0
9,2,1.2841212838945943,0.1979999516070822,BN,noniid,unbalanced,0
9,3,1.2517447332336358,0.2567203625063328,BN,noniid,unbalanced,0
9,4,1.1917464963499105,0.2599902135258184,BN,noniid,unbalanced,0
9,5,1.1836453631356456,0.2137926927654927,BN,noniid,unbalanced,0
9,6,1.185077830178022,0.2354691283289879,BN,noniid,unbalanced,0
9,7,1.1661718796825198,0.2928876076067102,BN,noniid,unbalanced,0
9,8,1.132771520809263,0.2939018290726704,BN,noniid,unbalanced,0
9,9,1.1302740983515864,0.285774946339243,BN,noniid,unbalanced,0
9,10,1.1097531192469392,0.2892366258181299,BN,noniid,unbalanced,0
10,1,1.313745572351546,0.2229343231500486,BN,noniid,unbalanced,0
10,2,1.2353796330559697,0.2907362863585732,BN,noniid,unbalanced,0
10,3,1.2194708781742338,0.2521300874808904,BN,noniid,unbalanced,0
10,4,1.1398141680522895,0.2924600675313282,BN,noniid,unbalanced,0
10,5,1.1488087123766062,0.2860532901176346,BN,noniid,unbalanced,0
10,6,1.125593494716017,0.3785592264000154,BN,noniid,unbalanced,0
10,7,1.1027444961979838,0.3516771927511182,BN,noniid,unbalanced,0
